x,y,z,yaw,velocity,change_flag
6788.9185,-8174.6094,-61.8757,0.4449,0,0
6789.8306,-8174.1777,-61.8737,0.4330,2.3531,0
6790.7861,-8173.7837,-61.8583,0.3855,2.9477,0
6791.8223,-8173.4155,-61.8737,0.2938,4.3649,0
6792.8657,-8173.1621,-61.8656,0.1584,5.3558,0
6793.9185,-8173.0371,-61.8632,-0.0065,5.0116,0
6795.0708,-8173.1104,-61.8547,-0.1856,5.7002,0
6796.1523,-8173.3823,-61.8394,-0.3435,5.5274,0
6797.1572,-8173.8291,-61.8523,-0.4868,7.5215,0
6798.0747,-8174.3574,-61.8591,-0.6070,8.0995,0
6798.9907,-8175.0601,-61.8610,-0.7173,8.3407,0
6799.7915,-8175.8457,-61.8573,-0.8033,8.3793,0
6800.5918,-8176.7500,-61.8511,-0.8698,9.1694,0
6801.3560,-8177.7036,-61.8308,-0.9238,9.0582,0
6801.9336,-8178.5371,-61.8200,-0.9648,8.7659,0
6802.5049,-8179.4062,-61.8226,-1.0008,9.5408,0
6803.0605,-8180.3350,-61.8329,-1.0313,9.5839,0
6803.6216,-8181.2979,-61.8445,-1.0548,10.6520,0
6804.1709,-8182.3003,-61.8316,-1.0715,10.5350,0
6804.7139,-8183.3257,-61.8365,-1.0853,10.5266,0
6805.2720,-8184.4038,-61.8431,-1.0958,10.7961,0
6805.8320,-8185.5312,-61.8277,-1.1052,11.9464,0
6806.3921,-8186.6421,-61.8136,-1.1140,11.7247,0
6806.9561,-8187.8403,-61.8140,-1.1193,11.7437,0
6807.4058,-8188.7539,-61.8045,-1.1233,12.5925,0
6807.8667,-8189.7217,-61.7988,-1.1243,13.0412,0
6808.3257,-8190.6973,-61.7857,-1.1255,13.8205,0
6808.7925,-8191.6514,-61.7835,-1.1257,12.6639,0
6809.2607,-8192.6582,-61.7883,-1.1266,13.4446,0
6809.7349,-8193.6631,-61.7800,-1.1260,13.3541,0
6810.2202,-8194.7080,-61.7849,-1.1257,13.3883,0
6810.6929,-8195.7148,-61.7761,-1.1249,13.0765,0
6811.1914,-8196.7646,-61.7565,-1.1244,13.5498,0
6811.6938,-8197.8184,-61.7440,-1.1245,14.3399,0
6812.2065,-8198.8799,-61.7622,-1.1236,13.7468,0
6812.7075,-8199.9365,-61.7453,-1.1238,13.9431,0
6813.2280,-8201.0137,-61.7415,-1.1244,14.0299,0
6813.7671,-8202.1455,-61.7052,-1.1246,15.5158,0
6814.2959,-8203.2334,-61.7079,-1.1248,15.0962,0
6814.8423,-8204.3721,-61.7286,-1.1251,15.3507,0
6815.3604,-8205.4785,-61.7255,-1.1247,14.4027,0
6815.8945,-8206.6201,-61.7206,-1.1261,14.8942,0
6816.4380,-8207.7656,-61.7291,-1.1270,15.3132,0
6816.9854,-8208.8936,-61.7347,-1.1275,14.7380,0
6817.5122,-8210.0420,-61.7370,-1.1285,15.0456,0
6818.0752,-8211.1992,-61.7362,-1.1297,15.7732,0
6818.6108,-8212.3506,-61.7368,-1.1301,15.3391,0
6819.1738,-8213.5234,-61.7369,-1.1304,15.7619,0
6819.7290,-8214.7002,-61.7411,-1.1303,15.9416,0
6820.2886,-8215.8975,-61.7514,-1.1308,16.3923,0
6820.8276,-8217.0635,-61.7579,-1.1319,15.3765,0
6821.3892,-8218.2627,-61.7610,-1.1332,15.5953,0
6821.9624,-8219.4795,-61.7549,-1.1365,16.1644,0
6822.5176,-8220.7148,-61.7717,-1.1412,15.4770,0
6823.0874,-8221.9453,-61.7546,-1.1491,16.6576,0
6823.6187,-8223.1641,-61.7572,-1.1592,16.4524,0
6824.1460,-8224.4219,-61.7693,-1.1733,15.8389,0
6824.6670,-8225.6875,-61.7640,-1.1896,16.1635,0
6825.1641,-8226.9395,-61.7684,-1.2049,16.3525,0
6825.6191,-8228.2002,-61.7728,-1.2204,16.1750,0
6826.0669,-8229.4648,-61.7676,-1.2366,15.7495,0
6826.4927,-8230.7168,-61.7650,-1.2482,15.6674,0
6826.8979,-8231.9453,-61.7520,-1.2553,14.9574,0
6827.2871,-8233.1592,-61.7636,-1.2569,14.9273,0
6827.6831,-8234.3574,-61.7502,-1.2564,14.3201,0
6828.0747,-8235.5713,-61.7505,-1.2547,14.4613,0
6828.4424,-8236.7324,-61.7377,-1.2506,14.3268,0
6828.8271,-8237.9170,-61.7493,-1.2472,14.3500,0
6829.2310,-8239.1025,-61.7448,-1.2417,14.7955,0
6829.6172,-8240.2646,-61.7368,-1.2358,14.7767,0
6830.0200,-8241.4453,-61.7422,-1.2299,15.0965,0
6830.4287,-8242.6250,-61.7615,-1.2225,14.5748,0
6830.8594,-8243.8242,-61.7740,-1.2154,15.5527,0
6831.3027,-8245.0039,-61.7881,-1.2071,14.8658,0
6831.7275,-8246.2090,-61.8084,-1.1962,15.0692,0
6832.1943,-8247.3770,-61.7779,-1.1881,15.1577,0
6832.6821,-8248.5586,-61.8128,-1.1804,14.5447,0
6833.1528,-8249.7158,-61.8134,-1.1748,14.8085,0
6833.6294,-8250.8584,-61.8308,-1.1706,14.0541,0
6834.1113,-8252.0225,-61.8179,-1.1667,15.0576,0
6834.5796,-8253.1367,-61.8169,-1.1626,14.2058,0
6835.0664,-8254.2666,-61.8345,-1.1589,14.6549,0
6835.5278,-8255.3535,-61.8028,-1.1551,13.9809,0
6836.0112,-8256.4609,-61.8143,-1.1514,14.7166,0
6836.4839,-8257.5166,-61.8042,-1.1478,14.0126,0
6836.9604,-8258.5830,-61.8175,-1.1457,14.2504,0
6837.4136,-8259.5879,-61.8007,-1.1428,12.9325,0
6837.8896,-8260.6289,-61.8046,-1.1419,13.6345,0
6838.3428,-8261.6445,-61.8044,-1.1404,13.0248,0
6838.7935,-8262.6201,-61.8185,-1.1386,12.1694,0
6839.2500,-8263.6113,-61.8204,-1.1368,12.8263,0
6839.6851,-8264.5703,-61.8171,-1.1352,12.3480,0
6840.1353,-8265.5176,-61.8189,-1.1335,12.7565,0
6840.5835,-8266.4766,-61.8181,-1.1320,12.5463,0
6841.0103,-8267.4131,-61.8405,-1.1308,12.5460,0
6841.4644,-8268.3730,-61.8264,-1.1293,12.1843,0
6841.9160,-8269.3486,-61.8020,-1.1288,13.2835,0
6842.3584,-8270.3066,-61.8153,-1.1265,12.3359,0
6842.8369,-8271.2910,-61.8382,-1.1261,12.8911,0
6843.2983,-8272.2842,-61.8072,-1.1248,12.8162,0
6843.7656,-8273.2783,-61.8542,-1.1259,13.5224,0
6844.2295,-8274.2568,-61.8003,-1.1267,12.5218,0
6844.7100,-8275.2871,-61.8363,-1.1278,13.6351,0
6845.1733,-8276.2852,-61.8445,-1.1291,13.1386,0
6845.6636,-8277.3291,-61.8338,-1.1308,13.0888,0
6846.1421,-8278.3584,-61.8332,-1.1326,14.0093,0
6846.6128,-8279.3867,-61.8368,-1.1371,12.4456,0
6847.1074,-8280.4629,-61.8424,-1.1443,14.2253,0
6847.5405,-8281.4658,-61.8503,-1.1547,12.4036,0
6848.0161,-8282.5293,-61.8559,-1.1703,13.2721,0
6848.4414,-8283.5654,-61.8518,-1.1901,13.3716,0
6848.8413,-8284.6123,-61.8577,-1.2149,12.9737,0
