x,y,z,yaw,velocity,change_flag
63.8913,0.4277,10.9125,1.5587,0,0
63.8892,1.5153,10.9052,1.5585,0.0000,0
63.9012,2.5561,10.9142,1.5581,0.0000,0
63.9046,3.6121,10.9097,1.5585,0.0000,0
63.9160,4.6917,10.9066,1.5584,0.0000,0
63.9268,5.7388,10.9021,1.5588,0.0000,0
63.9449,6.7852,10.8946,1.5589,0.0000,0
63.9489,7.8385,10.8985,1.5583,0.0000,0
63.9456,8.9030,10.8980,1.5602,0.0000,0
63.9616,9.9482,10.9063,1.5605,0.0000,0
63.9562,11.0149,10.9052,1.5671,0.0000,0
63.9629,12.0467,10.9062,1.5674,0.0000,0
63.9678,13.1350,10.9223,1.5679,0.0000,0
63.9570,14.1941,10.9232,1.5677,0.0000,0
63.9597,15.2697,10.9174,1.5677,0.0000,0
63.9515,16.6015,10.9022,1.5739,0.0000,0
63.9499,17.8068,10.8958,1.5741,0.0000,0
63.9265,18.8647,10.8899,1.5799,0.0000,0
63.9239,19.9023,10.9055,1.5818,0.0000,0
63.8979,21.0869,10.9145,1.5821,0.0000,0
63.8850,22.2566,10.8851,1.5836,0.0000,0
63.8542,23.2724,10.9047,1.5952,0.0000,0
63.8238,24.2867,10.8823,1.6142,0.0000,0
63.7519,25.3113,10.8883,1.6427,0.0000,0
63.6536,26.5783,10.9049,1.6617,0.0000,0
63.4812,27.8057,10.8796,1.7372,0.0000,0
63.2300,28.9932,10.8767,1.7966,0.0000,0
62.8782,30.1467,10.8697,1.9040,0.0000,0
62.4244,31.1972,10.8710,2.0299,0.0000,0
61.9281,32.0663,10.8779,2.1221,0.0000,0
61.1937,33.0415,10.8627,2.2479,0.0000,0
60.4880,33.8378,10.8744,2.3234,0.0000,0
59.7959,34.5775,10.8844,2.3303,0.0000,0
58.9131,35.4375,10.8820,2.3693,0.0000,0
58.0436,36.2076,10.8751,2.4613,0.0000,0
57.1008,36.8557,10.8696,2.6077,0.0000,0
56.1415,37.2752,10.8555,2.7922,0.0000,0
55.1426,37.4684,10.8576,2.9969,0.0000,0
54.0439,37.5628,10.8900,3.1196,0.0000,0
52.9343,37.5826,10.9005,3.1152,0.0000,0
51.9167,37.5966,10.8992,3.1088,0.0000,0
50.8068,37.6320,10.8918,3.1046,0.0000,0
49.8038,37.6754,10.8999,3.1043,0.0000,0
48.6920,37.7171,10.9019,3.1048,0.0000,0
47.5254,37.7559,10.9061,3.1047,0.0000,0
46.4343,37.7678,10.8915,3.1171,0.0000,0
45.3561,37.7914,10.9030,3.1185,0.0000,0
44.3419,37.8271,10.9123,3.1183,0.0000,0
43.2635,37.8320,10.9078,3.1178,0.0000,0
42.2508,37.8748,10.9078,3.1183,0.0000,0
41.2120,37.8866,10.9007,3.1180,0.0000,0
39.9809,37.9044,10.9078,3.1183,0.0000,0
38.8989,37.9397,10.9141,3.1181,0.0000,0
37.5848,37.9584,10.9170,3.1178,0.0000,0
36.5323,37.9829,10.9052,3.1194,0.0000,0
35.4203,37.9728,10.9162,3.1201,0.0000,0
34.1892,37.9835,10.9093,3.1387,0.0000,0
33.0931,37.9955,10.9096,3.1385,0.0000,0
32.0324,37.9953,10.9211,3.1371,0.0000,0
30.8273,38.0006,10.9185,3.1367,0.0000,0
29.6695,38.0072,10.9257,3.1348,0.0000,0
28.5075,38.0049,10.9209,3.1349,0.0000,0
27.2942,38.0285,10.9253,3.1349,0.0000,0
25.9796,38.0346,10.9199,3.1347,0.0000,0
24.7996,38.0234,10.9201,3.1347,0.0000,0
23.7709,38.0261,10.9360,3.1342,0.0000,0
22.7352,38.0395,10.9297,3.1348,0.0000,0
21.5770,38.0458,10.9345,3.1347,0.0000,0
20.5503,38.0573,10.9323,3.1347,0.0000,0
19.4442,38.0481,10.9320,3.1344,0.0000,0
18.3362,38.0494,10.9361,3.1348,0.0000,0
17.2264,38.0643,10.9384,3.1356,0.0000,0
16.1758,38.0650,10.9295,3.1395,0.0000,0
15.1560,38.0648,10.9348,3.1394,0.0000,0
14.0745,38.0590,10.9368,3.1393,0.0000,0
13.0177,38.0574,10.9271,3.1388,0.0000,0
11.9912,38.0677,10.9319,3.1395,0.0000,0
10.9292,38.0688,10.9366,3.1391,0.0000,0
9.8994,38.0641,10.9447,3.1390,0.0000,0
8.7251,38.0681,10.9455,3.1392,0.0000,0
7.4759,38.0615,10.9355,3.1392,0.0000,0
6.4546,38.0551,10.9473,3.1393,0.0000,0
5.3019,38.0465,10.9419,3.1401,0.0000,0
3.9497,38.0471,10.9440,-3.1386,0.0000,0
2.4027,38.0426,10.9368,-3.1382,0.0000,0
0.6472,38.0374,10.9356,-3.1386,0.0000,0
-0.9377,38.0184,10.9302,-3.1383,0.0000,0
-2.3212,38.0097,10.9270,-3.1386,0.0000,0
-3.9726,37.9911,10.9327,-3.1383,0.0000,0
-5.7220,37.9957,10.9339,-3.1384,0.0000,0
-7.3614,37.9660,10.9354,-3.1386,0.0000,0
-8.7701,37.9585,10.9286,-3.1386,0.0000,0
-10.0584,37.9460,10.9260,-3.1388,0.0000,0
-11.4457,37.9460,10.9466,-3.1384,0.0000,0
-13.1012,37.9405,10.9450,-3.1385,0.0000,0
-14.3383,37.9358,10.9332,-3.1385,0.0000,0
-15.4635,37.9418,10.9255,-3.1386,0.0000,0
-16.6837,37.9180,10.9431,-3.1388,0.0000,0
-17.8431,37.8953,10.9462,-3.1387,0.0000,0
-19.4311,37.8761,10.9287,-3.1388,0.0000,0
-20.5352,37.8810,10.9385,-3.1394,0.0000,0
-21.8546,37.8612,10.9273,-3.1390,0.0000,0
-23.3132,37.8703,10.9485,3.1373,0.0000,0
-24.7352,37.8737,10.9477,3.1332,0.0000,0
-25.9563,37.9071,10.9601,3.1321,0.0000,0
-27.1499,37.9081,10.9755,3.1179,0.0000,0
-28.6685,37.9473,10.9710,3.1148,0.0000,0
-30.3161,37.9830,10.9832,3.1167,0.0000,0
-31.8959,38.0010,10.9719,3.1174,0.0000,0
-33.5160,38.0801,10.9600,3.1224,0.0000,0
-34.9736,38.0870,10.9764,3.1291,0.0000,0
-36.4099,38.1010,10.9457,3.1295,0.0000,0
-38.0050,38.0981,10.9692,3.1413,0.0000,0
-39.4684,38.0843,10.9573,-3.1368,0.0000,0
-41.0902,38.0701,10.9634,-3.1363,0.0000,0
-42.6462,38.0351,10.9556,-3.1364,0.0000,0
-44.2079,38.0542,10.9379,3.1403,0.0000,0
-45.6357,38.0309,10.9219,3.1386,0.0000,0
-46.9998,38.0352,10.9042,3.1334,0.0000,0
-48.2345,38.0544,10.9233,3.1261,0.0000,0
-49.5650,38.0768,10.9325,3.1258,0.0000,0
-50.9510,38.0820,10.9503,3.1264,0.0000,0
-52.5777,38.0750,10.9294,3.1349,0.0000,0
-54.2105,38.0749,10.9194,3.1348,0.0000,0
-55.6256,38.0754,10.9176,3.1321,0.0000,0
-56.9398,38.0716,10.9036,3.1319,0.0000,0
-58.2066,38.0733,10.9137,3.1283,0.0000,0
-59.3026,38.0786,10.9050,3.1282,0.0000,0
-60.5720,38.0937,10.9178,3.1289,0.0000,0
-61.7558,38.1042,10.9104,3.1325,0.0000,0
-62.8643,38.0964,10.9185,3.1328,0.0000,0
-64.1008,38.1135,10.9058,3.1330,0.0000,0
-65.7237,38.1294,10.9139,3.1329,0.0000,0
-67.2341,38.1241,10.9070,3.1328,0.0000,0
-68.2675,38.1227,10.9048,3.1326,0.0000,0
-69.6754,38.1355,10.9063,3.1328,0.0000,0
-70.7099,38.1397,10.9006,3.1344,0.0000,0
-71.7282,38.1379,10.9096,3.1351,0.0000,0
-73.2581,38.1416,10.8954,3.1392,0.0000,0
-74.3129,38.1367,10.8907,-3.1330,0.0000,0
-75.5841,38.0983,10.8911,-3.1159,0.0000,0
-76.8641,38.0268,10.8899,-3.0852,0.0000,0
-77.9560,37.9518,10.8836,-3.0755,0.0000,0
-79.2159,37.8576,10.8635,-3.0400,0.0000,0
-80.4701,37.6707,10.8651,-2.9437,0.0000,0
-81.5774,37.3718,10.8747,-2.8725,0.0000,0
-82.7653,36.9705,10.8470,-2.7711,0.0000,0
-83.9131,36.4607,10.8660,-2.6976,0.0000,0
-84.9483,35.8449,10.8330,-2.5768,0.0000,0
-86.0019,35.1200,10.8626,-2.4780,0.0000,0
-86.8954,34.3371,10.8431,-2.3445,0.0000,0
-87.6619,33.4480,10.8583,-2.2576,0.0000,0
-88.3326,32.5421,10.8671,-2.2069,0.0000,0
-88.9655,31.6686,10.8731,-2.1863,0.0000,0
-89.5308,30.7547,10.8863,-2.0765,0.0000,0
-90.0242,29.6988,10.8769,-1.9810,0.0000,0
-90.3867,28.7573,10.8829,-1.9470,0.0000,0
-90.7551,27.6299,10.8544,-1.8506,0.0000,0
-91.0071,26.5496,10.8817,-1.7671,0.0000,0
-91.1625,25.5451,10.8768,-1.6781,0.0000,0
-91.2298,24.3329,10.8707,-1.6158,0.0000,0
-91.2452,23.0016,10.8694,-1.6040,0.0000,0
