x,y,z,yaw,velocity,change_flag
73.82,-10.4187,10.8721,3.1355,20,0
72.8144,-10.4059,10.8882,3.1361,20,0
71.4446,-10.4086,10.8896,3.1356,20,0
70.2549,-10.3932,10.9027,3.1359,20,0
69.1902,-10.3805,10.9039,3.136,20,0
67.9729,-10.3829,10.907,3.1357,20,0
66.705,-10.3863,10.9068,3.1356,20,0
65.09,-10.3797,10.9139,3.1359,20,0
63.5351,-10.3753,10.9089,3.136,20,0
62.5181,-10.3734,10.9084,3.1364,20,0
61.5113,-10.3874,10.9095,3.1359,20,0
60.4355,-10.3703,10.9153,3.1356,20,0
58.6312,-10.3745,10.9043,3.1361,20,0
57.0381,-10.3764,10.8989,3.1362,20,0
55.3382,-10.361,10.9171,3.1363,20,0
53.7284,-10.3741,10.9227,3.1362,20,0
52.6962,-10.3716,10.9284,3.1363,20,0
51.681,-10.3925,10.9326,3.1359,20,0
49.7947,-10.3792,10.9358,3.1362,20,0
48.6161,-10.3721,10.9324,3.1358,20,0
47.4118,-10.3604,10.9297,3.1359,20,0
46.0604,-10.3547,10.9372,3.1359,20,0
44.8197,-10.3439,10.9405,3.1361,20,0
43.3269,-10.3714,10.9438,3.136,20,0
41.8322,-10.3572,10.9387,3.1359,20,0
40.2161,-10.3693,10.9454,3.136,20,0
38.7909,-10.3542,10.9427,3.1365,20,0
37.0435,-10.3495,10.9428,3.136,20,0
35.3108,-10.3552,10.9412,3.1361,20,0
33.5309,-10.3523,10.9393,3.1362,20,0
31.9395,-10.3444,10.9389,3.1364,20,0
30.3701,-10.346,10.9424,3.1364,20,0
28.7896,-10.3339,10.9329,3.1361,20,0
27.276,-10.3351,10.9426,3.136,20,0
25.754,-10.3411,10.9455,3.1362,20,0
24.1198,-10.335,10.9478,3.1361,20,0
22.4532,-10.3349,10.947,3.1362,20,0
20.6446,-10.3412,10.9498,3.1364,20,0
18.9537,-10.3316,10.9551,3.1361,20,0
17.1026,-10.3164,10.951,3.1355,20,0
15.4284,-10.3244,10.9469,3.1356,20,0
13.7099,-10.3186,10.9365,3.1363,20,0
12.1667,-10.3362,10.9461,3.1362,20,0
10.6543,-10.3103,10.9444,3.136,20,0
9.251,-10.3074,10.946,3.1357,20,0
7.8334,-10.2945,10.9489,3.1355,20,0
6.3945,-10.2945,10.9571,3.1357,20,0
4.9731,-10.2934,10.9574,3.135,20,0
3.6624,-10.3187,10.9509,3.135,20,0
1.7025,-10.2926,10.9471,3.1355,20,0
0.6363,-10.2822,10.9435,3.1349,20,0
-0.3881,-10.2914,10.9455,3.1353,20,0
-1.4546,-10.2915,10.9505,3.1354,20,0
-3.3135,-10.2865,10.9446,3.1354,20,0
-5.2419,-10.2791,10.9563,3.1352,20,0
-7.3131,-10.285,10.9597,3.1357,20,0
-8.4729,-10.2757,10.9641,3.1355,20,0
-9.67,-10.283,10.9618,3.1355,20,0
-10.9846,-10.2737,10.9653,3.1355,20,0
-12.2952,-10.2758,10.9635,3.1356,20,0
-13.6626,-10.2718,10.9641,3.1357,20,0
-15.0208,-10.2644,10.9521,3.1355,20,0
-16.1618,-10.2652,10.953,3.1356,20,0
-17.2929,-10.2715,10.9417,3.1358,20,0
-18.3828,-10.2552,10.9386,3.1355,20,0
-20.6127,-10.2626,10.9494,3.1356,20,0
-21.6198,-10.2685,10.9491,3.1356,20,0
-22.6469,-10.2779,10.956,3.1363,20,0
-23.7574,-10.2488,10.9633,3.1357,20,0
-24.8496,-10.2379,10.9641,3.1353,20,0
-25.9261,-10.2408,10.962,3.1356,20,0
-26.9463,-10.2268,10.9552,3.1354,20,0
-28.4963,-10.2361,10.9364,3.1357,20,0
-30.1445,-10.2462,10.9379,3.1355,20,0
-31.8923,-10.2309,10.9644,3.1358,20,0
-33.392,-10.2346,10.9425,3.136,20,0
-34.5521,-10.2393,10.9401,3.1359,20,0
-35.8014,-10.2317,10.9425,3.1352,20,0
-36.9665,-10.2422,10.9433,3.1353,20,0
-37.98,-10.2111,10.9632,3.1362,20,0
-39.04,-10.2428,10.9355,3.1352,20,0
-40.1693,-10.2055,10.9686,3.1364,20,0
-41.2758,-10.2005,10.968,3.1357,20,0
